datetime,student,task
2019-09-10 19:38,Олег,Самостоятельная работа №1. Задачи анализа данных и типы данных
2019-09-11 15:35,Надежда,Лабораторная работа №1. Python
2019-09-11 15:35,Надежда,Лабораторная работа №1. Python
2019-09-11 15:36,Степан,Лабораторная работа №1. Python
2019-09-11 15:36,Степан,Лабораторная работа №1. Python
2019-09-11 15:36,Екатерина,Лабораторная работа №1. Python
2019-09-11 15:36,Надежда,Лабораторная работа №1. Python
2019-09-11 15:36,Надежда,Лабораторная работа №1. Python
2019-09-11 15:36,Надежда,Лабораторная работа №1. Python
2019-09-11 15:36,Надежда,Лабораторная работа №1. Python
2019-09-11 15:36,Екатерина,Лабораторная работа №1. Python
2019-09-11 15:37,Кирилл,Лабораторная работа №1. Python
2019-09-11 15:37,Кирилл,Лабораторная работа №1. Python
2019-09-11 15:37,Юлия,Лабораторная работа №1. Python
2019-09-11 15:37,Юлия,Лабораторная работа №1. Python
2019-09-11 15:37,Юлия,Лабораторная работа №1. Python
2019-09-11 15:37,Юлия,Лабораторная работа №1. Python
2019-09-11 15:37,Дмитрий,Лабораторная работа №1. Python
2019-09-11 15:37,Дмитрий,Лабораторная работа №1. Python
2019-09-11 15:37,Дмитрий,Лабораторная работа №1. Python
2019-09-11 15:37,Дмитрий,Лабораторная работа №1. Python
2019-09-11 15:37,Степан,Лабораторная работа №1. Python
2019-09-11 15:37,Кирилл,Лабораторная работа №1. Python
2019-09-11 15:37,Степан,Лабораторная работа №1. Python
2019-09-11 15:37,Степан,Лабораторная работа №1. Python
2019-09-11 15:37,Юлия,Лабораторная работа №1. Python
2019-09-11 15:37,Юлия,Лабораторная работа №1. Python
2019-09-11 15:37,Екатерина,Лабораторная работа №1. Python
2019-09-11 15:37,Екатерина,Лабораторная работа №1. Python
2019-09-11 15:37,Екатерина,Лабораторная работа №1. Python
2019-09-11 15:37,Кирилл,Лабораторная работа №1. Python
2019-09-11 15:37,Екатерина,Лабораторная работа №1. Python
2019-09-11 15:37,Дмитрий,Лабораторная работа №1. Python
2019-09-11 15:37,Дмитрий,Лабораторная работа №1. Python
2019-09-11 15:37,Кирилл,Лабораторная работа №1. Python
2019-09-11 15:37,Кирилл,Лабораторная работа №1. Python
2019-09-11 15:37,Степан,Лабораторная работа №1. Python
2019-09-11 23:48,Олег,Лабораторная работа №1. Python
2019-09-11 23:48,Олег,Лабораторная работа №1. Python
2019-09-11 23:49,Олег,Лабораторная работа №1. Python
2019-09-11 23:49,Олег,Лабораторная работа №1. Python
2019-09-11 23:49,Олег,Лабораторная работа №1. Python
2019-09-11 23:49,Олег,Лабораторная работа №1. Python
2019-09-14 19:38,Светлана,Лабораторная работа №1. Python
2019-09-14 19:38,Светлана,Лабораторная работа №1. Python
2019-09-14 19:39,Светлана,Лабораторная работа №1. Python
2019-09-14 19:39,Светлана,Лабораторная работа №1. Python
2019-09-14 19:39,Светлана,Лабораторная работа №1. Python
2019-09-14 19:39,Светлана,Лабораторная работа №1. Python
2019-09-14 19:40,Светлана,Самостоятельная работа №1. Задачи анализа данных и типы данных
2019-09-14 22:50,Дмитрий,Лабораторная работа №1. Python
2019-09-14 22:51,Дмитрий,Самостоятельная работа №1. Задачи анализа данных и типы данных
2019-09-15 08:46,Кирилл,Самостоятельная работа №1. Задачи анализа данных и типы данных
2019-09-15 11:14,Екатерина,Самостоятельная работа №2. Установка Anaconda
2019-09-15 11:14,Екатерина,Лабораторная работа №2. Линейная алгебра и библиотека numpy
2019-09-15 11:15,Екатерина,Самостоятельная работа №1. Задачи анализа данных и типы данных
2019-09-15 12:35,Юлия,Лабораторная работа №2. Линейная алгебра и библиотека numpy
2019-09-15 12:35,Юлия,Самостоятельная работа №1. Задачи анализа данных и типы данных
2019-09-15 12:35,Юлия,Самостоятельная работа №2. Установка Anaconda
2019-09-15 14:18,Юлия,Лабораторная работа №1. Python
2019-09-15 14:37,Светлана,Самостоятельная работа №1. Задачи анализа данных и типы данных
2019-09-15 14:37,Светлана,Самостоятельная работа №1. Задачи анализа данных и типы данных
2019-09-15 14:39,Степан,Лабораторная работа №1. Python
2019-09-15 14:39,Дмитрий,Самостоятельная работа №1. Задачи анализа данных и типы данных
2019-09-15 14:40,Степан,Самостоятельная работа №1. Задачи анализа данных и типы данных
2019-09-15 14:40,Степан,Самостоятельная работа №2. Установка Anaconda
2019-09-15 14:40,Степан,Лабораторная работа №2. Линейная алгебра и библиотека numpy
2019-09-15 14:40,Степан,Лабораторная работа №1. Python
2019-09-15 15:15,Кирилл,Самостоятельная работа №1. Задачи анализа данных и типы данных
2019-09-15 15:30,Степан,Самостоятельная работа №1. Задачи анализа данных и типы данных
2019-09-15 15:30,Степан,Самостоятельная работа №1. Задачи анализа данных и типы данных
2019-09-15 15:31,Степан,Самостоятельная работа №1. Задачи анализа данных и типы данных
2019-09-15 15:31,Степан,Самостоятельная работа №1. Задачи анализа данных и типы данных
2019-09-15 15:31,Степан,Самостоятельная работа №1. Задачи анализа данных и типы данных
2019-09-15 15:32,Степан,Самостоятельная работа №1. Задачи анализа данных и типы данных
2019-09-15 15:35,Степан,Самостоятельная работа №1. Задачи анализа данных и типы данных
2019-09-15 15:35,Степан,Самостоятельная работа №1. Задачи анализа данных и типы данных
2019-09-15 15:35,Дмитрий,Самостоятельная работа №1. Задачи анализа данных и типы данных
2019-09-15 15:36,Кирилл,Самостоятельная работа №1. Задачи анализа данных и типы данных
2019-09-15 15:38,Степан,Самостоятельная работа №1. Задачи анализа данных и типы данных
2019-09-15 15:38,Степан,Самостоятельная работа №1. Задачи анализа данных и типы данных
2019-09-15 15:40,Степан,Самостоятельная работа №1. Задачи анализа данных и типы данных
2019-09-15 15:40,Степан,Самостоятельная работа №1. Задачи анализа данных и типы данных
2019-09-15 15:40,Степан,Самостоятельная работа №1. Задачи анализа данных и типы данных
2019-09-15 15:40,Степан,Самостоятельная работа №1. Задачи анализа данных и типы данных
2019-09-15 16:13,Светлана,Самостоятельная работа №1. Задачи анализа данных и типы данных
2019-09-15 16:14,Светлана,Самостоятельная работа №1. Задачи анализа данных и типы данных
2019-09-15 16:14,Светлана,Самостоятельная работа №1. Задачи анализа данных и типы данных
2019-09-15 16:14,Светлана,Самостоятельная работа №1. Задачи анализа данных и типы данных
2019-09-15 16:14,Светлана,Самостоятельная работа №1. Задачи анализа данных и типы данных
2019-09-15 16:15,Светлана,Самостоятельная работа №2. Установка Anaconda
2019-09-15 17:18,Кирилл,Самостоятельная работа №1. Задачи анализа данных и типы данных
2019-09-15 17:25,Кирилл,Самостоятельная работа №2. Установка Anaconda
2019-09-15 18:46,Олег,Самостоятельная работа №1. Задачи анализа данных и типы данных
2019-09-15 18:48,Олег,Самостоятельная работа №1. Задачи анализа данных и типы данных
2019-09-15 19:15,Кирилл,Самостоятельная работа №1. Задачи анализа данных и типы данных
2019-09-15 19:24,Надежда,Самостоятельная работа №1. Задачи анализа данных и типы данных
2019-09-15 19:24,Надежда,Самостоятельная работа №1. Задачи анализа данных и типы данных
2019-09-15 19:57,Дмитрий,Самостоятельная работа №1. Задачи анализа данных и типы данных
2019-09-15 19:57,Дмитрий,Самостоятельная работа №1. Задачи анализа данных и типы данных
2019-09-15 20:01,Дмитрий,Самостоятельная работа №1. Задачи анализа данных и типы данных
2019-09-15 20:01,Дмитрий,Самостоятельная работа №1. Задачи анализа данных и типы данных
2019-09-15 20:01,Дмитрий,Самостоятельная работа №1. Задачи анализа данных и типы данных
2019-09-15 20:01,Дмитрий,Самостоятельная работа №1. Задачи анализа данных и типы данных
2019-09-15 20:19,Кирилл,Самостоятельная работа №1. Задачи анализа данных и типы данных
2019-09-15 20:20,Кирилл,Самостоятельная работа №1. Задачи анализа данных и типы данных
2019-09-15 20:20,Кирилл,Самостоятельная работа №1. Задачи анализа данных и типы данных
2019-09-15 20:21,Екатерина,Самостоятельная работа №1. Задачи анализа данных и типы данных
2019-09-15 20:21,Кирилл,Самостоятельная работа №1. Задачи анализа данных и типы данных
2019-09-15 20:23,Кирилл,Самостоятельная работа №1. Задачи анализа данных и типы данных
2019-09-15 20:24,Кирилл,Самостоятельная работа №1. Задачи анализа данных и типы данных
2019-09-15 20:24,Кирилл,Самостоятельная работа №1. Задачи анализа данных и типы данных
2019-09-15 20:24,Кирилл,Самостоятельная работа №1. Задачи анализа данных и типы данных
2019-09-15 20:24,Кирилл,Самостоятельная работа №1. Задачи анализа данных и типы данных
2019-09-15 20:26,Кирилл,Самостоятельная работа №1. Задачи анализа данных и типы данных
2019-09-15 20:26,Кирилл,Самостоятельная работа №1. Задачи анализа данных и типы данных
2019-09-15 20:29,Екатерина,Самостоятельная работа №1. Задачи анализа данных и типы данных
2019-09-15 20:32,Кирилл,Самостоятельная работа №1. Задачи анализа данных и типы данных
2019-09-15 20:32,Кирилл,Самостоятельная работа №1. Задачи анализа данных и типы данных
2019-09-15 20:32,Кирилл,Самостоятельная работа №1. Задачи анализа данных и типы данных
2019-09-15 20:32,Кирилл,Самостоятельная работа №1. Задачи анализа данных и типы данных
2019-09-15 20:32,Кирилл,Самостоятельная работа №1. Задачи анализа данных и типы данных
2019-09-15 20:32,Кирилл,Самостоятельная работа №1. Задачи анализа данных и типы данных
2019-09-15 20:32,Кирилл,Самостоятельная работа №1. Задачи анализа данных и типы данных
2019-09-15 20:33,Кирилл,Самостоятельная работа №1. Задачи анализа данных и типы данных
2019-09-15 20:34,Кирилл,Самостоятельная работа №1. Задачи анализа данных и типы данных
2019-09-15 20:34,Кирилл,Самостоятельная работа №1. Задачи анализа данных и типы данных
2019-09-15 20:34,Кирилл,Самостоятельная работа №1. Задачи анализа данных и типы данных
2019-09-15 20:35,Кирилл,Самостоятельная работа №1. Задачи анализа данных и типы данных
2019-09-15 20:39,Кирилл,Самостоятельная работа №1. Задачи анализа данных и типы данных
2019-09-15 20:39,Кирилл,Самостоятельная работа №1. Задачи анализа данных и типы данных
2019-09-15 20:39,Кирилл,Самостоятельная работа №1. Задачи анализа данных и типы данных
2019-09-15 20:39,Кирилл,Самостоятельная работа №1. Задачи анализа данных и типы данных
2019-09-15 20:40,Кирилл,Самостоятельная работа №1. Задачи анализа данных и типы данных
2019-09-15 20:41,Кирилл,Самостоятельная работа №1. Задачи анализа данных и типы данных
2019-09-15 20:56,Екатерина,Самостоятельная работа №1. Задачи анализа данных и типы данных
2019-09-15 20:56,Екатерина,Самостоятельная работа №1. Задачи анализа данных и типы данных
2019-09-15 20:56,Екатерина,Самостоятельная работа №1. Задачи анализа данных и типы данных
2019-09-15 20:56,Екатерина,Самостоятельная работа №1. Задачи анализа данных и типы данных
2019-09-15 20:57,Екатерина,Самостоятельная работа №1. Задачи анализа данных и типы данных
2019-09-15 20:57,Екатерина,Самостоятельная работа №1. Задачи анализа данных и типы данных
2019-09-15 20:57,Екатерина,Самостоятельная работа №1. Задачи анализа данных и типы данных
2019-09-15 21:09,Борис,Самостоятельная работа №1. Задачи анализа данных и типы данных
2019-09-15 21:28,Борис,Самостоятельная работа №1. Задачи анализа данных и типы данных
2019-09-15 21:35,Степан,Самостоятельная работа №1. Задачи анализа данных и типы данных
2019-09-15 21:35,Степан,Самостоятельная работа №1. Задачи анализа данных и типы данных
2019-09-15 21:35,Степан,Самостоятельная работа №1. Задачи анализа данных и типы данных
2019-09-15 21:35,Степан,Самостоятельная работа №1. Задачи анализа данных и типы данных
2019-09-15 21:35,Степан,Самостоятельная работа №1. Задачи анализа данных и типы данных
2019-09-15 21:35,Степан,Самостоятельная работа №1. Задачи анализа данных и типы данных
2019-09-15 21:58,Борис,Самостоятельная работа №1. Задачи анализа данных и типы данных
2019-09-15 22:10,Борис,Самостоятельная работа №1. Задачи анализа данных и типы данных
2019-09-15 22:10,Борис,Самостоятельная работа №1. Задачи анализа данных и типы данных
2019-09-15 22:20,Олег,Самостоятельная работа №1. Задачи анализа данных и типы данных
2019-09-15 22:21,Олег,Самостоятельная работа №1. Задачи анализа данных и типы данных
2019-09-15 22:21,Олег,Самостоятельная работа №1. Задачи анализа данных и типы данных
2019-09-15 22:21,Олег,Самостоятельная работа №1. Задачи анализа данных и типы данных
2019-09-15 22:21,Олег,Самостоятельная работа №1. Задачи анализа данных и типы данных
2019-09-15 22:39,Борис,Самостоятельная работа №1. Задачи анализа данных и типы данных
2019-09-15 22:51,Борис,Самостоятельная работа №1. Задачи анализа данных и типы данных
2019-09-15 22:51,Борис,Самостоятельная работа №1. Задачи анализа данных и типы данных
2019-09-15 22:51,Борис,Самостоятельная работа №1. Задачи анализа данных и типы данных
2019-09-15 22:51,Борис,Самостоятельная работа №1. Задачи анализа данных и типы данных
2019-09-15 22:57,Борис,Самостоятельная работа №1. Задачи анализа данных и типы данных
2019-09-15 23:10,Борис,Самостоятельная работа №1. Задачи анализа данных и типы данных
2019-09-15 23:30,Максим,Самостоятельная работа №1. Задачи анализа данных и типы данных
2019-09-15 23:33,Надежда,Самостоятельная работа №1. Задачи анализа данных и типы данных
2019-09-15 23:33,Надежда,Самостоятельная работа №1. Задачи анализа данных и типы данных
2019-09-15 23:33,Надежда,Самостоятельная работа №1. Задачи анализа данных и типы данных
2019-09-15 23:38,Надежда,Самостоятельная работа №1. Задачи анализа данных и типы данных
2019-09-15 23:38,Надежда,Самостоятельная работа №1. Задачи анализа данных и типы данных
2019-09-15 23:38,Надежда,Самостоятельная работа №1. Задачи анализа данных и типы данных
2019-09-15 23:38,Надежда,Самостоятельная работа №1. Задачи анализа данных и типы данных
2019-09-15 23:40,Максим,Самостоятельная работа №1. Задачи анализа данных и типы данных
2019-09-15 23:53,Максим,Самостоятельная работа №1. Задачи анализа данных и типы данных
2019-09-16 00:02,Максим,Самостоятельная работа №1. Задачи анализа данных и типы данных
2019-09-16 00:04,Максим,Лабораторная работа №1. Python
2019-09-16 00:06,Борис,Самостоятельная работа №1. Задачи анализа данных и типы данных
2019-09-16 00:19,Максим,Самостоятельная работа №1. Задачи анализа данных и типы данных
2019-09-16 00:21,Максим,Самостоятельная работа №1. Задачи анализа данных и типы данных
2019-09-16 00:22,Максим,Самостоятельная работа №1. Задачи анализа данных и типы данных
2019-09-16 00:23,Максим,Лабораторная работа №1. Python
2019-09-16 00:24,Максим,Самостоятельная работа №1. Задачи анализа данных и типы данных
2019-09-16 00:24,Максим,Лабораторная работа №1. Python
2019-09-16 00:24,Максим,Лабораторная работа №1. Python
2019-09-16 00:24,Максим,Лабораторная работа №1. Python
2019-09-16 00:24,Максим,Лабораторная работа №1. Python
2019-09-16 16:26,Кирилл,Самостоятельная работа №1. Задачи анализа данных и типы данных
2019-09-16 16:27,Кирилл,Самостоятельная работа №1. Задачи анализа данных и типы данных
2019-09-16 16:29,Кирилл,Самостоятельная работа №1. Задачи анализа данных и типы данных
2019-09-16 16:29,Кирилл,Самостоятельная работа №1. Задачи анализа данных и типы данных
2019-09-16 16:29,Кирилл,Самостоятельная работа №1. Задачи анализа данных и типы данных
2019-09-16 16:29,Кирилл,Самостоятельная работа №1. Задачи анализа данных и типы данных
2019-09-16 16:29,Кирилл,Самостоятельная работа №2. Установка Anaconda
2019-09-16 16:29,Кирилл,Лабораторная работа №1. Python
2019-09-16 16:29,Кирилл,Лабораторная работа №2. Линейная алгебра и библиотека numpy
2019-09-16 17:56,Степан,Самостоятельная работа №1. Задачи анализа данных и типы данных
2019-09-17 20:40,Степан,Самостоятельная работа №1. Задачи анализа данных и типы данных
2019-09-17 20:40,Степан,Самостоятельная работа №1. Задачи анализа данных и типы данных
2019-09-17 20:40,Степан,Самостоятельная работа №1. Задачи анализа данных и типы данных
2019-09-17 20:41,Степан,Лабораторная работа №2. Линейная алгебра и библиотека numpy
2019-09-17 20:58,Кирилл,Самостоятельная работа №2. Установка Anaconda
